confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200322,0,0,0,0,Montserrat,蒙特塞拉特
1,0,0,0,1,0,20200323,0,0,0,0,Montserrat,蒙特塞拉特
1,0,0,0,1,0,20200324,0,0,0,0,Montserrat,蒙特塞拉特
1,0,0,0,1,0,20200325,0,0,0,0,Montserrat,蒙特塞拉特
2,1,0,0,2,1,20200326,0,0,0,0,Montserrat,蒙特塞拉特
2,0,0,0,2,0,20200327,0,0,0,0,Montserrat,蒙特塞拉特
5,3,0,0,5,3,20200328,0,0,0,0,Montserrat,蒙特塞拉特
5,0,0,0,5,0,20200329,0,0,0,0,Montserrat,蒙特塞拉特
5,0,0,0,5,0,20200330,0,0,0,0,Montserrat,蒙特塞拉特
5,0,0,0,5,0,20200331,0,0,0,0,Montserrat,蒙特塞拉特
5,0,0,0,5,0,20200401,0,0,0,0,Montserrat,蒙特塞拉特
5,0,0,0,5,0,20200402,0,0,0,0,Montserrat,蒙特塞拉特
5,0,0,0,5,0,20200403,0,0,0,0,Montserrat,蒙特塞拉特
5,0,0,0,5,0,20200404,0,0,0,0,Montserrat,蒙特塞拉特
6,1,0,0,6,1,20200405,0,0,0,0,Montserrat,蒙特塞拉特
6,0,0,0,6,0,20200406,0,0,0,0,Montserrat,蒙特塞拉特
6,0,0,0,6,0,20200407,0,0,0,0,Montserrat,蒙特塞拉特
6,0,0,0,6,0,20200408,0,0,0,0,Montserrat,蒙特塞拉特
8,2,0,0,8,2,20200409,0,0,0,0,Montserrat,蒙特塞拉特
8,0,0,0,8,0,20200410,0,0,0,0,Montserrat,蒙特塞拉特
9,1,0,0,9,1,20200411,0,0,0,0,Montserrat,蒙特塞拉特
9,0,0,0,9,0,20200412,0,0,0,0,Montserrat,蒙特塞拉特
9,0,0,0,9,0,20200413,0,0,0,0,Montserrat,蒙特塞拉特
11,2,0,0,11,2,20200414,0,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,11,0,20200415,0,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,11,0,20200416,0,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,11,0,20200417,0,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,11,0,20200418,0,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,11,0,20200419,0,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,11,0,20200420,0,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,11,0,20200421,0,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,11,0,20200422,0,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,11,0,20200423,0,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,11,0,20200424,0,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,11,0,20200425,0,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,-1,20200426,1,1,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200427,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200428,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200429,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200430,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200501,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200502,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200503,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200504,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200505,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200506,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200507,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200508,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200509,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200510,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200511,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200512,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200513,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200514,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200515,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200516,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200517,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200518,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200519,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200520,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200521,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200522,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200523,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200524,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200525,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200526,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200527,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200528,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200529,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200530,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200531,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200601,1,0,0,0,Montserrat,蒙特塞拉特
11,0,0,0,10,0,20200602,1,0,0,0,Montserrat,蒙特塞拉特
